maker,name,price,url
ASUS エイスース,D500SC-G6405TA [デスクトップパソコン ASUS ExpertCenter D5 SFF D500SC Gold G6405/メモリ 8GB/SSD 256GB+HDD 1TB/Windows 11 Home 64ビット/WPS/ブラック],"￥79,800",/product/100000001006971558/
Acer エイサー,RN96-F58Y [Revo Box/Core i5-1135G7/メモリ 8GB/512GB SSD/Windows 11 Home（64bit）/ブラック],"￥99,800",/product/100000001006890813/
ミニズフォーラム MINISFORUM,TL50-16/512-W10Pro（1135G7） [超小型デスクトップパソコン/Intel Core i5-1135G7/メモリ 16GB/SSD 512GB/Windows 10 Pro搭載],"￥87,970",/product/100000001006817281/
NEC エヌイーシー,PC-A2377CAB [デスクトップパソコン 23.8型/Core i7-10510U/メモリ 8GB/SSD 1TB/Windows 11 Home/Microsoft Office Home ＆ Business 2021/ブラック],"￥230,780",/product/100000001006575787/
DELL デル,FI537YD-BWHBSC [Inspiron 24 5000 フレームレスデスクトップ/一体型デスクトップ/第11世代 インテル Core i3-1115G4 プロセッサー/メモリ 8GB/SSD 256GB/Windows 11 Home/Office Home＆Business 2021/シルバー/ヨドバシカメラ限定モデル/Dellデータ移行サービス付帯モデル],"￥132,800",/product/100000001006780231/
レノボ･ジャパン Lenovo,F0G10048JP [デスクトップノートパソコン IdeaCentre AIO360/23.8型/AMD Ryzen 3 5300U プロセッサー/メモリ 8GB/SSD 512GB（PCIe NVMe/M.2）/Windows 11 Home 64bit（日本語版）/Microsoft Office Home ＆ Business 2021/ホワイト],"￥124,300",/product/100000001006871592/
DELL デル,"DA90-BWLW [Alienware Aurora R13/ゲーミングデスクトップ/Core i7 12700KF/メモリ 16GB/512GB SSD（PCIe）＋2TB HDD 7,200回転（SATA）/Windows 11 Home/ルナライト（シルバーホワイト）LEDライト付]","￥329,800",/product/100000001006890812/
マウスコンピューター mouse computer,PCMI117P21J-B [Windows11 Pro搭載デスクトップパソコン/Corei7-11700/メモリ 8GB/SSD 512GB （NVMe）/インテル UHD グラフィックス 750/DVDスーパーマルチドライブ/Windows11 Pro 64bit/Office Home ＆ Business 2021],"￥184,800",/product/100000001006821766/
ミニズフォーラム MINISFORUM,U820-16/512-W10pro（8279U） [小型デスクトップパソコン/Intel Core i5-8279U/メモリ 16GB/ストレージ M.2 SSD 512GB/Windows 10 Pro 64bit],"￥76,640",/product/100000001006414865/
DELL デル,FI779-BWHBBC [Inspiron 27 7000 フレームレスデスクトップ/一体型デスクトップ/第11世代 インテル Core i7-1165G7 プロセッサー/メモリ 8GB/SSD 512GB＋HDD 1TB/Windows 11 Home/Office Home＆Business 2021/ブラック],"￥186,800",/product/100000001006780271/
レノボ･ジャパン Lenovo,F0G10049JP [デスクトップノートパソコン IdeaCentre AIO360/23.8型/AMD Ryzen 7 5700U プロセッサー/メモリ 8GB/SSD 512GB（PCIe NVMe/M.2）/Windows 11 Home 64bit（日本語版）/Microsoft Office Home ＆ Business 2021/ホワイト],"￥144,100",/product/100000001006871593/
ミニズフォーラム MINISFORUM,UM350-8/256-W10Pro（3550H） [小型デスクトップパソコン/Ryzen 5 3550H/Radeon RX Vega 8 Graphics/メモリ 8GB/SSD 256GB/Windows 10 Pro],"￥50,380",/product/100000001006934364/
ガレリア,UA7R-R37-R212 [GALLERIA ゲーミングデスクトップPC Ryzen 7 3700X/メモリ 16GB/SSD 1TB/Windows 10 Home 64ビット],"￥249,800",/product/100000001006041680/
富士通 FUJITSU,FMVF70F3W [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 8GB/SSD 512GB/DVDドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ホワイト],"￥193,180",/product/100000001006585840/
ECS イーシーエス,LIVAZ-4/32 （N3350） [Celeron N3350/メモリ 4GB/eMMC 32GB/Wi-Fi 802.11ac OS非搭載モデル],"￥21,910",/product/100000001003419738/
マウスコンピューター mouse computer,PCMIDV107G306P21C [クリエイター向けデスクトップパソコン/Corei7 10700/16GB/SSD 512GB (NVMe)/HDD 2TB/GeForce RTX 3060/DVDスーパーマルチドライブ/Windows10 Pro 64bit/Office Home & Business 2019],"￥269,800",/product/100000001006104327/
ミニズフォーラム MINISFORUM,X500-16/512-W10Pro（5700G） [小型デスクトップパソコン/AMD Ryzen 7 5700G/メモリ 16GB/ストレージ M.2 2280 SSD NVMe 512GB/Windows 10 Pro 64bit/ブラック],"￥113,000",/product/100000001006685511/
DELL デル,FI557-BWHBBC [Inspiron 24 5000 フレームレスデスクトップ/一体型デスクトップ/第11世代 インテル Core i5-1135G7 プロセッサー/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/Office Home＆Business 2021/ブラック],"￥149,800",/product/100000001006780269/
ASUS エイスース,VC65-C1G5011ZN [デスクトップパソコン VivoMini VC65-C1 Core i5-8400T/メモリ 8GB/HDD 500GB/SSD 128GB/DVDスーパーマルチドライブ/Windows 10 Home 64ビット/アイアングレー],"￥112,390",/product/100000001004019946/
ミニズフォーラム MINISFORUM,N40-4/64-W10Pro（N4020） [小型デスクトップパソコン/CPU：Intel Celeron Processor N4020/メモリ：4GB/ストレージ：eMMC 64GB/Windows 10 Pro 64bit],"￥21,780",/product/100000001006298627/
